,City,Betting Similarity,Alcohol Similarity,Days Similarity,Watch Similarity
0,New York,0.51542032674494,0.2439627487281661,0.6413772011289596,0.6202438083428404
1,Los Angeles,0.5527279749100786,0.2674012919720577,0.65082727576686,0.6420568496957727
2,Chicago,0.48655679024901416,0.24567521941335002,0.624368630477261,0.6152993346679154
3,Houston,0.4990112388335304,0.25422867679651856,0.6383467561730924,0.6251265555608441
4,Philadelphia,0.5186423024857625,0.25252546859208364,0.6280725014876342,0.6263756499721728
5,Phoenix,0.4978973929640685,0.25262157977685046,0.6345675821390738,0.6224742605623124
6,San Antonio,0.5065082335025537,0.26337405053419477,0.6557362794535746,0.622099398431345
7,San Diego,0.5047116557965912,0.2551377231347545,0.6432542697591046,0.6280984790226051
8,Dallas,0.5089147673554302,0.31964498469783437,0.6411433803074319,0.6443992817399038
9,San Jose,0.5148496656175746,0.26744647020331946,0.6544322332547583,0.6226696709878393
10,Austin,0.5159988977880615,0.28989303035753433,0.6512775935704658,0.6385947389142032
11,Indianapolis,0.5135079778903481,0.25348947016686324,0.6415504668469952,0.6169383255730408
12,Jacksonville,0.5489753743165217,0.31181216442152315,0.6597649778956353,0.6292344266608666
13,San Francisco,0.5226967927156214,0.2644833824896607,0.6486239908714133,0.6268801487736896
14,Columbus,0.48949420178416964,0.2544584813991794,0.6324052797955496,0.6202331534260516
15,Charlotte,0.4973241120719258,0.252954355879179,0.6491876412988901,0.626440833614296
16,Fort Worth,0.5146564439908762,0.49203803253794354,0.662516103326551,0.6676293562722124
17,Detroit,0.5010340928509898,0.2528104646433779,0.6368633283718865,0.6263123213768339
18,El Paso,0.5003639806259731,0.28176879914545855,0.6454627653488362,0.6600250707391844
19,Memphis,0.5009376718028022,0.2603548315046958,0.6457692520468862,0.6299821287352145
20,Seattle,0.53351680307532,0.25713799281442656,0.6562225974311863,0.6226173135773707
21,Denver,0.5022742699695237,0.2481546544978017,0.6301454376770449,0.6163178959413557
22,Washington,0.48129526246200033,0.24834631662500847,0.627159568869751,0.6164003265520569
23,Boston,0.5147224741382991,0.2564870554895806,0.6481200081773446,0.621444488888917
24,Nashville-Davidson,0.5241824672407545,0.262104465239895,0.6593332272978252,0.6373552517801007
25,Baltimore,0.49511714273118346,0.2514866867058826,0.6386635913834404,0.6246264949147982
26,Oklahoma City,0.5108631389634686,0.26270904868880485,0.6397361296361077,0.6266894000793932
27,Louisville/Jefferson County,0.4734242520917118,0.23905758930317647,0.6170592138447816,0.5975984794839029
28,Portland,0.4931197577731865,0.2560774973373253,0.6375924694383521,0.6163401141042221
29,Las Vegas,0.7233976140138743,0.22494626466562093,0.49331015266615025,0.45973460253826176
30,Milwaukee,0.49471582066087294,0.245341353746205,0.6346193471081361,0.6162391122872637
31,Albuquerque,0.48134707565078705,0.25224515373683487,0.6302325674205518,0.6242999191559271
32,Tucson,0.5301122806503478,0.2539707918123761,0.6510033263313184,0.6145081589094056
33,Fresno,0.4998326811943395,0.252372125363514,0.6299708933430116,0.6231733229108064
34,Sacramento,0.4915026633339807,0.25304575123141854,0.6402151848932041,0.6267875622691478
35,Long Beach,0.4887659430500718,0.295339676243025,0.6524931821893463,0.6380703886964125
